actual_time,alliances_blue_score,alliances_blue_team_keys_0,alliances_blue_team_keys_1,alliances_blue_team_keys_2,alliances_red_score,alliances_red_team_keys_0,alliances_red_team_keys_1,alliances_red_team_keys_2,comp_level,event_key,key,match_number,post_result_time,predicted_time,score_breakdown_blue_adjustPoints,score_breakdown_blue_autoOwnershipPoints,score_breakdown_blue_autoPoints,score_breakdown_blue_autoQuestRankingPoint,score_breakdown_blue_autoRobot1,score_breakdown_blue_autoRobot2,score_breakdown_blue_autoRobot3,score_breakdown_blue_autoRunPoints,score_breakdown_blue_autoScaleOwnershipSec,score_breakdown_blue_autoSwitchAtZero,score_breakdown_blue_autoSwitchOwnershipSec,score_breakdown_blue_endgamePoints,score_breakdown_blue_endgameRobot1,score_breakdown_blue_endgameRobot2,score_breakdown_blue_endgameRobot3,score_breakdown_blue_faceTheBossRankingPoint,score_breakdown_blue_foulCount,score_breakdown_blue_foulPoints,score_breakdown_blue_rp,score_breakdown_blue_tba_gameData,score_breakdown_blue_techFoulCount,score_breakdown_blue_teleopOwnershipPoints,score_breakdown_blue_teleopPoints,score_breakdown_blue_teleopScaleBoostSec,score_breakdown_blue_teleopScaleForceSec,score_breakdown_blue_teleopScaleOwnershipSec,score_breakdown_blue_teleopSwitchBoostSec,score_breakdown_blue_teleopSwitchForceSec,score_breakdown_blue_teleopSwitchOwnershipSec,score_breakdown_blue_totalPoints,score_breakdown_blue_vaultBoostPlayed,score_breakdown_blue_vaultBoostTotal,score_breakdown_blue_vaultForcePlayed,score_breakdown_blue_vaultForceTotal,score_breakdown_blue_vaultLevitatePlayed,score_breakdown_blue_vaultLevitateTotal,score_breakdown_blue_vaultPoints,score_breakdown_red_adjustPoints,score_breakdown_red_autoOwnershipPoints,score_breakdown_red_autoPoints,score_breakdown_red_autoQuestRankingPoint,score_breakdown_red_autoRobot1,score_breakdown_red_autoRobot2,score_breakdown_red_autoRobot3,score_breakdown_red_autoRunPoints,score_breakdown_red_autoScaleOwnershipSec,score_breakdown_red_autoSwitchAtZero,score_breakdown_red_autoSwitchOwnershipSec,score_breakdown_red_endgamePoints,score_breakdown_red_endgameRobot1,score_breakdown_red_endgameRobot2,score_breakdown_red_endgameRobot3,score_breakdown_red_faceTheBossRankingPoint,score_breakdown_red_foulCount,score_breakdown_red_foulPoints,score_breakdown_red_rp,score_breakdown_red_tba_gameData,score_breakdown_red_techFoulCount,score_breakdown_red_teleopOwnershipPoints,score_breakdown_red_teleopPoints,score_breakdown_red_teleopScaleBoostSec,score_breakdown_red_teleopScaleForceSec,score_breakdown_red_teleopScaleOwnershipSec,score_breakdown_red_teleopSwitchBoostSec,score_breakdown_red_teleopSwitchForceSec,score_breakdown_red_teleopSwitchOwnershipSec,score_breakdown_red_totalPoints,score_breakdown_red_vaultBoostPlayed,score_breakdown_red_vaultBoostTotal,score_breakdown_red_vaultForcePlayed,score_breakdown_red_vaultForceTotal,score_breakdown_red_vaultLevitatePlayed,score_breakdown_red_vaultLevitateTotal,score_breakdown_red_vaultPoints,set_number,time,videos_0_key,videos_0_type,winning_alliance,videos_1_key,videos_1_type,videos_2_key,videos_2_type,videos_3_key,videos_3_type,videos_4_key,videos_4_type,videos_5_key,videos_5_type,alliances_red_dq_team_keys_0,alliances_blue_dq_team_keys_0,alliances_red_dq_team_keys_1,alliances_blue_dq_team_keys_1,alliances_red_dq_team_keys_2,alliances_blue_dq_team_keys_2
1523038425,226,frc5102,frc5124,frc4276,397,frc3309,frc2339,frc5805,qm,2018caav,2018caav_qm18,18,1523038610,1523038452,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,60,Climbing,None,Levitate,False,8,0,0,RRR,0,126,211,0,0,0,0,10,126,226,0,0,1,2,3,3,25,0,24,39,True,AutoRun,AutoRun,AutoRun,15,0,True,12,40,Parking,Levitate,Parking,False,0,40,3,RRR,0,263,318,0,0,127,0,0,136,397,0,0,0,0,3,3,15,1,1523038560,avPxwnMILB4,youtube,red,,,,,,,,,,,,,,,,
1523038841,146,frc1160,frc702,frc2429,500,frc6072,frc4470,frc294,qm,2018caav,2018caav_qm19,19,1523039079,1523038981,0,8,23,True,AutoRun,AutoRun,AutoRun,15,0,True,4,65,Parking,Levitate,Climbing,False,2,0,1,LRL,2,38,123,0,0,0,0,0,38,146,0,1,0,0,3,3,20,0,28,43,True,AutoRun,AutoRun,AutoRun,15,8,True,6,90,Levitate,Climbing,Climbing,True,0,60,4,LRL,0,282,397,10,0,136,0,0,136,500,2,2,0,0,3,3,25,1,1523039040,6W6yCP9UQzo,youtube,red,,,,,,,,,,,,,,,,
1523031507,485,frc3309,frc5012,frc330,161,frc3647,frc4470,frc585,qm,2018caav,2018caav_qm2,2,1523031758,1523031540,0,36,51,True,AutoRun,AutoRun,AutoRun,15,8,True,10,90,Climbing,Climbing,Levitate,True,0,10,4,LRL,0,289,424,10,0,133,10,0,136,485,3,3,0,3,3,3,45,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,65,Climbing,Levitate,Parking,False,2,0,0,LRL,0,56,146,0,0,0,0,10,56,161,1,1,1,1,3,3,25,1,1523030880,KatkBqrNEC8,youtube,blue,,,,,,,,,,,,,,,,
1523039359,338,frc3669,frc4322,frc2658,217,frc3647,frc980,frc3390,qm,2018caav,2018caav_qm20,20,1523039554,1523039401,0,20,35,True,AutoRun,AutoRun,AutoRun,15,0,True,10,65,Levitate,Climbing,Parking,False,0,30,3,LLL,0,163,273,0,10,17,10,10,136,338,3,3,3,3,3,3,45,0,0,10,False,AutoRun,None,AutoRun,10,0,False,0,30,Climbing,None,None,False,6,0,0,LLL,0,162,207,10,0,80,0,0,72,217,3,3,0,0,0,0,15,1,1523039520,yE2ffJM4LT0,youtube,blue,,,,,,,,,,,,,,,,
1523039771,353,frc2493,frc3309,frc2637,332,frc5805,frc597,frc399,qm,2018caav,2018caav_qm21,21,1523039963,1523039821,0,34,49,True,AutoRun,AutoRun,AutoRun,15,9,True,8,40,Parking,Levitate,Parking,False,0,30,3,RRR,0,219,274,0,0,83,0,0,136,353,0,0,0,0,3,3,15,0,18,33,True,AutoRun,AutoRun,AutoRun,15,0,True,9,65,Climbing,Parking,Levitate,False,1,0,1,RRR,1,199,299,10,10,53,0,0,136,332,2,2,2,2,3,3,35,1,1523040000,zKFQEMDIFS4,youtube,blue,,,,,,,,,,,,,,,,
1523040201,250,frc330,frc5869,frc3453,316,frc3476,frc6382,frc4276,qm,2018caav,2018caav_qm22,22,1523040432,1523040241,0,14,24,False,AutoRun,AutoRun,None,10,7,False,0,35,Climbing,None,Parking,False,1,20,0,LRL,0,166,206,0,0,71,0,0,95,250,0,0,0,0,0,1,5,0,20,35,True,AutoRun,AutoRun,AutoRun,15,1,True,9,90,Climbing,Levitate,Climbing,True,4,5,4,LRL,0,166,276,0,0,20,10,0,136,316,1,1,0,0,3,3,20,1,1523040480,w3E3901scF0,youtube,red,,,,,,,,,,,,,,,,
1523044846,130,frc4014,frc2339,frc981,305,frc5102,frc4255,frc4191,qm,2018caav,2018caav_qm23,23,1523045071,1523044860,0,10,25,True,AutoRun,AutoRun,AutoRun,15,0,True,5,5,None,None,Parking,False,3,35,1,RRR,0,65,70,0,0,7,0,0,58,130,0,0,0,0,0,0,0,0,0,10,False,AutoRun,AutoRun,None,10,0,False,0,35,Parking,Levitate,None,False,2,15,2,RRR,1,220,280,5,0,83,0,0,132,305,2,2,0,0,3,3,25,1,1523044560,EIdysXcSzYQ,youtube,red,,,,,,,,,,,,,,,,
1523045287,132,frc5474,frc599,frc6060,235,frc5012,frc585,frc5124,qm,2018caav,2018caav_qm24,24,1523045514,1523045343,0,0,10,False,AutoRun,AutoRun,None,10,0,False,0,35,None,Climbing,Parking,False,3,35,0,LLL,0,52,87,0,0,7,0,0,45,132,0,0,0,0,0,0,0,0,0,10,False,AutoRun,None,AutoRun,10,0,False,0,35,Climbing,Parking,None,False,2,15,2,LLL,1,175,210,0,0,96,0,0,79,235,0,0,0,0,0,0,0,1,1523045040,AqCCqXXRgB4,youtube,red,,,,,,,,,,,,,,,,
1523045708,151,frc5869,frc2658,frc2429,332,frc4322,frc4276,frc3647,qm,2018caav,2018caav_qm25,25,1523045899,1523045821,0,14,29,True,AutoRun,AutoRun,AutoRun,15,0,True,7,30,None,None,Climbing,False,0,5,1,RRR,0,87,117,0,0,0,0,0,87,151,0,0,0,0,0,0,0,0,0,10,False,AutoRun,None,AutoRun,10,0,False,0,65,Levitate,Parking,Climbing,False,1,0,2,RRR,0,222,322,0,10,129,10,10,83,332,1,1,3,3,3,3,35,1,1523045520,h0vcfQQLHj8,youtube,red,,,,,,,,,,,,,,,,
1523046124,393,frc6072,frc4255,frc597,258,frc6382,frc2493,frc4191,qm,2018caav,2018caav_qm26,26,1523046320,1523046143,0,18,33,True,AutoRun,AutoRun,AutoRun,15,0,True,9,40,Levitate,Parking,Parking,False,2,10,3,RLR,1,265,350,10,10,109,10,10,136,393,3,3,3,3,3,3,45,0,0,10,False,AutoRun,AutoRun,None,10,0,False,0,65,Climbing,Levitate,Parking,False,2,35,0,RLR,0,133,213,0,0,5,0,0,128,258,0,0,0,0,3,3,15,1,1523046000,1itngacTCTI,youtube,blue,,,,,,,,,,,,,,,,
