actual_time,alliances_blue_score,alliances_blue_team_keys_0,alliances_blue_team_keys_1,alliances_blue_team_keys_2,alliances_red_score,alliances_red_team_keys_0,alliances_red_team_keys_1,alliances_red_team_keys_2,comp_level,event_key,key,match_number,post_result_time,predicted_time,score_breakdown_blue_adjustPoints,score_breakdown_blue_autoOwnershipPoints,score_breakdown_blue_autoPoints,score_breakdown_blue_autoQuestRankingPoint,score_breakdown_blue_autoRobot1,score_breakdown_blue_autoRobot2,score_breakdown_blue_autoRobot3,score_breakdown_blue_autoRunPoints,score_breakdown_blue_autoScaleOwnershipSec,score_breakdown_blue_autoSwitchAtZero,score_breakdown_blue_autoSwitchOwnershipSec,score_breakdown_blue_endgamePoints,score_breakdown_blue_endgameRobot1,score_breakdown_blue_endgameRobot2,score_breakdown_blue_endgameRobot3,score_breakdown_blue_faceTheBossRankingPoint,score_breakdown_blue_foulCount,score_breakdown_blue_foulPoints,score_breakdown_blue_rp,score_breakdown_blue_tba_gameData,score_breakdown_blue_techFoulCount,score_breakdown_blue_teleopOwnershipPoints,score_breakdown_blue_teleopPoints,score_breakdown_blue_teleopScaleBoostSec,score_breakdown_blue_teleopScaleForceSec,score_breakdown_blue_teleopScaleOwnershipSec,score_breakdown_blue_teleopSwitchBoostSec,score_breakdown_blue_teleopSwitchForceSec,score_breakdown_blue_teleopSwitchOwnershipSec,score_breakdown_blue_totalPoints,score_breakdown_blue_vaultBoostPlayed,score_breakdown_blue_vaultBoostTotal,score_breakdown_blue_vaultForcePlayed,score_breakdown_blue_vaultForceTotal,score_breakdown_blue_vaultLevitatePlayed,score_breakdown_blue_vaultLevitateTotal,score_breakdown_blue_vaultPoints,score_breakdown_red_adjustPoints,score_breakdown_red_autoOwnershipPoints,score_breakdown_red_autoPoints,score_breakdown_red_autoQuestRankingPoint,score_breakdown_red_autoRobot1,score_breakdown_red_autoRobot2,score_breakdown_red_autoRobot3,score_breakdown_red_autoRunPoints,score_breakdown_red_autoScaleOwnershipSec,score_breakdown_red_autoSwitchAtZero,score_breakdown_red_autoSwitchOwnershipSec,score_breakdown_red_endgamePoints,score_breakdown_red_endgameRobot1,score_breakdown_red_endgameRobot2,score_breakdown_red_endgameRobot3,score_breakdown_red_faceTheBossRankingPoint,score_breakdown_red_foulCount,score_breakdown_red_foulPoints,score_breakdown_red_rp,score_breakdown_red_tba_gameData,score_breakdown_red_techFoulCount,score_breakdown_red_teleopOwnershipPoints,score_breakdown_red_teleopPoints,score_breakdown_red_teleopScaleBoostSec,score_breakdown_red_teleopScaleForceSec,score_breakdown_red_teleopScaleOwnershipSec,score_breakdown_red_teleopSwitchBoostSec,score_breakdown_red_teleopSwitchForceSec,score_breakdown_red_teleopSwitchOwnershipSec,score_breakdown_red_totalPoints,score_breakdown_red_vaultBoostPlayed,score_breakdown_red_vaultBoostTotal,score_breakdown_red_vaultForcePlayed,score_breakdown_red_vaultForceTotal,score_breakdown_red_vaultLevitatePlayed,score_breakdown_red_vaultLevitateTotal,score_breakdown_red_vaultPoints,set_number,time,videos_0_key,videos_0_type,winning_alliance,videos_1_key,videos_1_type,videos_2_key,videos_2_type,videos_3_key,videos_3_type,videos_4_key,videos_4_type,videos_5_key,videos_5_type,alliances_red_dq_team_keys_0,alliances_blue_dq_team_keys_0,alliances_red_dq_team_keys_1,alliances_blue_dq_team_keys_1,alliances_red_dq_team_keys_2,alliances_blue_dq_team_keys_2
1521821808,190,frc5059,frc3965,frc585,385,frc2485,frc2647,frc687,qm,2018nvlv,2018nvlv_qm3,3,1521822017,1521821852,0,24,34,False,AutoRun,AutoRun,None,10,0,True,12,35,None,Parking,Levitate,False,0,25,0,RLR,2,61,131,0,0,0,10,10,51,190,1,2,1,2,3,3,35,0,36,51,True,AutoRun,AutoRun,AutoRun,15,7,True,11,40,Parking,Levitate,Parking,False,0,50,3,RLR,1,224,284,0,0,137,10,0,77,385,1,1,0,0,3,3,20,1,1521821640,rbTqmghsS5U,youtube,red,,,,,,,,,,,,,,,,
1521837059,253,frc2647,frc1388,frc4738,410,frc6824,frc987,frc3255,qm,2018nvlv,2018nvlv_qm30,30,1521837252,1521837061,0,8,23,True,AutoRun,AutoRun,AutoRun,15,0,True,4,35,Levitate,None,Parking,False,1,5,1,RRR,0,155,225,0,10,11,10,0,134,253,1,2,2,2,3,3,35,0,22,37,True,AutoRun,AutoRun,AutoRun,15,1,True,10,65,Levitate,Parking,Climbing,False,1,5,3,RRR,0,258,368,10,10,128,10,10,110,410,3,3,3,3,3,3,45,1,1521836880,7WZQZU70WCw,youtube,red,,,,,,,,,,,,,,,,
1521812285,384,frc2710,frc5875,frc2659,226,frc3577,frc585,frc2429,qm,2018nvlv,2018nvlv_qm31,31,1521812480,1521837481,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,10,Parking,Parking,None,False,0,35,3,RLR,1,277,312,10,0,120,10,0,137,384,3,3,0,0,0,2,25,0,16,31,True,AutoRun,AutoRun,AutoRun,15,0,True,8,35,Climbing,Parking,None,False,2,25,1,RLR,1,130,170,0,0,0,10,0,120,226,1,1,0,0,0,0,5,1,1521837300,uM8aQjmsLOc,youtube,blue,,,,,,,,,,,,,,,,
1521812786,335,frc5429,frc6411,frc6826,466,frc842,frc2485,frc1160,qm,2018nvlv,2018nvlv_qm32,32,,1521840070,0,12,22,False,AutoRun,AutoRun,None,10,0,True,6,65,Climbing,Levitate,Parking,False,4,55,0,RRR,1,148,258,0,10,11,10,10,127,335,3,3,3,3,3,3,45,0,20,35,True,AutoRun,AutoRun,AutoRun,15,0,True,10,65,Parking,Climbing,Levitate,False,1,45,3,RRR,2,276,386,10,4,119,10,4,137,466,3,3,3,3,3,3,45,1,1521837720,hfIJRX93Tjw,youtube,red,,,,,,,,,,,,,,,,
1521813847,138,frc3495,frc6519,frc6825,290,frc5059,frc5025,frc6957,qm,2018nvlv,2018nvlv_qm33,33,,1521840492,0,0,10,False,None,AutoRun,AutoRun,10,0,False,0,35,None,Parking,Levitate,False,0,35,0,RRR,0,43,93,0,0,0,0,0,43,138,0,0,0,0,3,3,15,0,24,39,True,AutoRun,AutoRun,AutoRun,15,0,True,12,65,Levitate,Parking,Climbing,False,2,0,3,RRR,1,156,251,0,0,26,10,0,120,290,1,2,0,1,3,3,30,1,1521838140,Xb3dGdKrq3w,youtube,red,,,,,,,,,,,,,,,,
1521840081,486,frc4501,frc2647,frc5285,81,frc7183,frc5851,frc5049,qm,2018nvlv,2018nvlv_qm34,34,1521840284,1521840914,0,14,29,True,AutoRun,AutoRun,AutoRun,15,0,True,7,40,Levitate,Parking,Parking,False,0,95,3,LRL,0,277,362,10,10,124,10,10,133,486,3,3,3,3,3,3,45,0,0,10,False,AutoRun,AutoRun,None,10,0,False,0,35,Levitate,Parking,None,False,4,0,0,LRL,3,16,71,0,0,0,0,10,16,81,0,0,1,1,3,3,20,1,1521838560,A5rck2iffRo,youtube,blue,,,,,,,,,,,,,,,,
1521840481,386,frc2543,frc4,frc5012,129,frc4792,frc3009,frc7077,qm,2018nvlv,2018nvlv_qm35,35,1521840681,1521840548,0,16,26,False,None,AutoRun,AutoRun,10,0,True,8,40,Levitate,Parking,Parking,False,0,5,2,RRR,0,270,355,10,10,116,10,10,134,386,3,3,3,3,3,3,45,0,0,10,False,None,AutoRun,AutoRun,10,0,False,0,10,None,Parking,Parking,False,1,0,0,RRR,0,84,119,0,10,11,0,10,73,129,2,2,3,3,0,0,25,1,1521838980,sGtDSAw49lc,youtube,blue,,,,,,,,,,,,,,,,
1521840898,468,frc4486,frc987,frc399,251,frc687,frc988,frc6821,qm,2018nvlv,2018nvlv_qm36,36,1521841123,1521840903,0,36,51,True,AutoRun,AutoRun,AutoRun,15,7,True,11,65,Climbing,Levitate,Parking,False,0,55,3,RLR,2,252,362,10,10,105,0,10,137,468,2,3,3,3,3,3,45,0,22,32,False,AutoRun,None,AutoRun,10,0,True,11,5,None,None,Parking,False,1,50,0,RLR,2,159,169,0,0,25,0,0,134,251,0,0,0,0,0,1,5,1,1521839400,8uaIp5gJNcc,youtube,blue,,,,,,,,,,,,,,,,
1521841434,347,frc3011,frc3021,frc2485,311,frc60,frc3965,frc2710,qm,2018nvlv,2018nvlv_qm37,37,1521841651,1521841565,0,20,35,True,AutoRun,AutoRun,AutoRun,15,0,True,10,30,Levitate,None,None,False,0,30,3,RLR,1,232,282,0,0,94,1,0,137,347,1,1,0,0,3,3,20,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,90,Levitate,Climbing,Climbing,True,1,25,1,RLR,1,156,271,0,0,18,10,10,128,311,1,1,1,1,3,3,25,1,1521839820,yiCcSooVAw8,youtube,blue,,,,,,,,,,,,,,,,
1521841907,138,frc5851,frc6825,frc2647,516,frc4738,frc5012,frc3009,qm,2018nvlv,2018nvlv_qm38,38,1521842118,1521841922,0,12,27,True,AutoRun,AutoRun,AutoRun,15,0,True,6,40,Parking,Levitate,Parking,False,0,0,1,LLL,4,51,111,0,0,0,0,0,51,138,0,0,0,1,3,3,20,0,16,31,True,AutoRun,AutoRun,AutoRun,15,0,True,8,60,None,Climbing,Levitate,False,0,100,3,LLL,0,280,385,10,9,130,10,9,130,516,3,3,3,3,3,3,45,1,1521840240,-x6lo1LNmnY,youtube,red,,,,,,,,,,,,,,,,
