actual_time,alliances_blue_score,alliances_blue_team_keys_0,alliances_blue_team_keys_1,alliances_blue_team_keys_2,alliances_red_score,alliances_red_team_keys_0,alliances_red_team_keys_1,alliances_red_team_keys_2,comp_level,event_key,key,match_number,post_result_time,predicted_time,score_breakdown_blue_adjustPoints,score_breakdown_blue_autoOwnershipPoints,score_breakdown_blue_autoPoints,score_breakdown_blue_autoQuestRankingPoint,score_breakdown_blue_autoRobot1,score_breakdown_blue_autoRobot2,score_breakdown_blue_autoRobot3,score_breakdown_blue_autoRunPoints,score_breakdown_blue_autoScaleOwnershipSec,score_breakdown_blue_autoSwitchAtZero,score_breakdown_blue_autoSwitchOwnershipSec,score_breakdown_blue_endgamePoints,score_breakdown_blue_endgameRobot1,score_breakdown_blue_endgameRobot2,score_breakdown_blue_endgameRobot3,score_breakdown_blue_faceTheBossRankingPoint,score_breakdown_blue_foulCount,score_breakdown_blue_foulPoints,score_breakdown_blue_rp,score_breakdown_blue_tba_gameData,score_breakdown_blue_techFoulCount,score_breakdown_blue_teleopOwnershipPoints,score_breakdown_blue_teleopPoints,score_breakdown_blue_teleopScaleBoostSec,score_breakdown_blue_teleopScaleForceSec,score_breakdown_blue_teleopScaleOwnershipSec,score_breakdown_blue_teleopSwitchBoostSec,score_breakdown_blue_teleopSwitchForceSec,score_breakdown_blue_teleopSwitchOwnershipSec,score_breakdown_blue_totalPoints,score_breakdown_blue_vaultBoostPlayed,score_breakdown_blue_vaultBoostTotal,score_breakdown_blue_vaultForcePlayed,score_breakdown_blue_vaultForceTotal,score_breakdown_blue_vaultLevitatePlayed,score_breakdown_blue_vaultLevitateTotal,score_breakdown_blue_vaultPoints,score_breakdown_red_adjustPoints,score_breakdown_red_autoOwnershipPoints,score_breakdown_red_autoPoints,score_breakdown_red_autoQuestRankingPoint,score_breakdown_red_autoRobot1,score_breakdown_red_autoRobot2,score_breakdown_red_autoRobot3,score_breakdown_red_autoRunPoints,score_breakdown_red_autoScaleOwnershipSec,score_breakdown_red_autoSwitchAtZero,score_breakdown_red_autoSwitchOwnershipSec,score_breakdown_red_endgamePoints,score_breakdown_red_endgameRobot1,score_breakdown_red_endgameRobot2,score_breakdown_red_endgameRobot3,score_breakdown_red_faceTheBossRankingPoint,score_breakdown_red_foulCount,score_breakdown_red_foulPoints,score_breakdown_red_rp,score_breakdown_red_tba_gameData,score_breakdown_red_techFoulCount,score_breakdown_red_teleopOwnershipPoints,score_breakdown_red_teleopPoints,score_breakdown_red_teleopScaleBoostSec,score_breakdown_red_teleopScaleForceSec,score_breakdown_red_teleopScaleOwnershipSec,score_breakdown_red_teleopSwitchBoostSec,score_breakdown_red_teleopSwitchForceSec,score_breakdown_red_teleopSwitchOwnershipSec,score_breakdown_red_totalPoints,score_breakdown_red_vaultBoostPlayed,score_breakdown_red_vaultBoostTotal,score_breakdown_red_vaultForcePlayed,score_breakdown_red_vaultForceTotal,score_breakdown_red_vaultLevitatePlayed,score_breakdown_red_vaultLevitateTotal,score_breakdown_red_vaultPoints,set_number,time,videos_0_key,videos_0_type,winning_alliance,videos_1_key,videos_1_type,videos_2_key,videos_2_type,videos_3_key,videos_3_type,videos_4_key,videos_4_type,videos_5_key,videos_5_type,alliances_red_dq_team_keys_0,alliances_blue_dq_team_keys_0,alliances_red_dq_team_keys_1,alliances_blue_dq_team_keys_1,alliances_red_dq_team_keys_2,alliances_blue_dq_team_keys_2,alliances_red_surrogate_team_keys_0,alliances_blue_surrogate_team_keys_0,alliances_red_surrogate_team_keys_1,alliances_blue_surrogate_team_keys_1,alliances_red_surrogate_team_keys_2,alliances_blue_surrogate_team_keys_2
1524155763,282,frc3339,frc6014,frc59,475,frc456,frc399,frc2976,qm,2018hop,2018hop_qm20,20,1524155932,1524155821,0,16,26,False,AutoRun,None,AutoRun,10,0,True,8,65,Climbing,Levitate,Parking,False,0,35,0,LRL,3,126,221,0,0,15,10,0,101,282,1,1,0,2,3,3,30,0,20,35,True,AutoRun,AutoRun,AutoRun,15,0,True,10,65,Parking,Climbing,Levitate,False,2,75,3,LRL,1,260,365,10,2,104,10,0,136,475,3,3,2,2,3,3,40,1,1524152580,KqWfMEAcZxk,youtube,red,,,,,,,,,,,,,,,,,,,,,,
1524156144,317,frc2096,frc180,frc1828,277,frc4400,frc973,frc7140,qm,2018hop,2018hop_qm21,21,1524156339,1524156151,0,20,35,True,AutoRun,AutoRun,AutoRun,15,7,True,3,35,None,Parking,Levitate,False,1,0,3,LRL,0,207,282,0,10,66,5,0,136,317,3,3,2,2,3,3,40,0,6,16,False,AutoRun,AutoRun,None,10,0,True,3,60,None,Climbing,Levitate,False,0,5,0,LRL,0,176,256,0,0,70,0,0,106,277,0,1,0,0,3,3,20,1,1524153000,ZGw1bvUvSr4,youtube,blue,,,,,,,,,,,,,,,,,,,,,,
1524156507,305,frc6672,frc5839,frc1261,210,frc3489,frc3711,frc7034,qm,2018hop,2018hop_qm22,22,1524156714,1524156541,0,18,33,True,AutoRun,AutoRun,AutoRun,15,0,True,9,65,Climbing,Parking,Levitate,False,0,10,3,RRR,0,157,262,0,10,11,10,0,136,305,3,3,2,2,3,3,40,0,10,20,False,AutoRun,AutoRun,None,10,5,False,0,30,Climbing,None,None,False,2,0,0,RRR,0,155,190,0,0,96,0,0,59,210,0,0,0,0,0,1,5,1,1524153420,6Ez7jZX9HEg,youtube,blue,,,,,,,,,,,,,,,,,,,,,,
1524157098,332,frc5801,frc5854,frc5572,327,frc7173,frc6919,frc6907,qm,2018hop,2018hop_qm23,23,1524157265,1524157081,0,10,25,True,AutoRun,AutoRun,AutoRun,15,0,True,5,40,Parking,Levitate,Parking,False,0,5,3,RRR,0,232,302,10,0,76,10,0,136,332,3,3,0,0,3,3,30,0,28,43,True,AutoRun,AutoRun,AutoRun,15,8,True,6,65,Parking,Levitate,Climbing,False,1,0,1,RRR,0,189,284,0,10,54,0,0,135,327,0,1,2,2,3,3,30,1,1524153840,YIdcszOv2AY,youtube,blue,,,,,,,,,,,,,,,,,,,,,,
1524157458,284,frc4775,frc2583,frc980,361,frc6705,frc148,frc4733,qm,2018hop,2018hop_qm24,24,1524157630,1524157501,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,35,Parking,None,Climbing,False,1,25,0,LRL,0,184,244,0,10,41,10,10,133,284,1,1,3,3,0,1,25,0,14,29,True,AutoRun,AutoRun,AutoRun,15,0,True,7,65,Parking,Climbing,Levitate,False,0,5,3,LRL,1,217,327,0,10,71,10,0,136,361,1,3,2,3,3,3,45,1,1524154260,V8PQXxRTpPw,youtube,red,,,,,,,,,,,,,,,,,frc4733,frc980,,,,
1524157836,381,frc957,frc3284,frc5242,325,frc3339,frc3223,frc5809,qm,2018hop,2018hop_qm25,25,1524158025,1524157862,0,16,31,True,AutoRun,AutoRun,AutoRun,15,0,True,8,90,Climbing,Levitate,Climbing,True,1,10,4,RLR,1,210,340,8,0,66,0,0,136,381,2,3,0,2,3,3,40,0,20,35,True,AutoRun,AutoRun,AutoRun,15,0,True,10,35,Parking,Levitate,None,False,2,30,1,RLR,0,190,260,0,0,44,10,10,136,325,3,3,1,1,3,3,35,1,1524154680,9JRd4Wen0vo,youtube,blue,,,,,,,,,,,,,,,,,frc3339,frc5242,,,,
1524158271,460,frc4400,frc2283,frc7157,225,frc2990,frc7293,frc1984,qm,2018hop,2018hop_qm26,26,1524158454,1524158341,0,12,22,False,AutoRun,AutoRun,None,10,6,False,0,60,Climbing,Levitate,None,False,0,50,2,LRL,3,283,388,10,10,136,10,10,127,460,3,3,3,3,3,3,45,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,35,None,Levitate,Parking,False,0,75,1,LRL,2,63,113,0,0,0,0,0,63,225,0,0,0,0,3,3,15,1,1524155100,1JC4NcELh3E,youtube,blue,,,,,,,,,,,,,,,,,,,,,,
1524158650,452,frc6014,frc254,frc585,294,frc3711,frc3495,frc3397,qm,2018hop,2018hop_qm27,27,1524158831,1524158760,0,28,43,True,AutoRun,AutoRun,AutoRun,15,3,True,11,90,Climbing,Climbing,Levitate,True,1,25,4,RLR,0,254,384,10,0,127,8,10,109,452,3,3,1,2,3,3,40,0,12,27,True,AutoRun,AutoRun,AutoRun,15,0,True,6,65,Climbing,Parking,Levitate,False,0,5,1,RLR,1,157,262,0,10,11,10,0,136,294,1,2,2,3,3,3,40,1,1524155520,tZ7QKgVL3pM,youtube,blue,,,,,,,,,,,,,,,,,,,,,,
1524158985,297,frc2096,frc59,frc5854,364,frc1706,frc1810,frc5496,qm,2018hop,2018hop_qm28,28,1524159212,1524159040,0,6,21,True,AutoRun,AutoRun,AutoRun,15,0,True,3,65,Climbing,Levitate,Parking,False,0,0,1,LRL,0,176,276,0,10,30,10,0,136,297,1,1,2,3,3,3,35,0,22,32,False,AutoRun,None,AutoRun,10,0,True,11,65,Levitate,Parking,Climbing,False,0,0,2,LRL,0,222,332,10,10,91,10,10,111,364,3,3,3,3,3,3,45,1,1524155940,BHTD1OGdvSg,youtube,red,,,,,,,,,,,,,,,,,,,,,,
1524159487,366,frc5414,frc7173,frc2992,316,frc6885,frc7140,frc359,qm,2018hop,2018hop_qm29,29,1524159687,1524159601,0,6,21,False,AutoRun,AutoRun,AutoRun,15,0,False,3,90,Levitate,Climbing,Climbing,True,1,0,3,LLL,1,240,345,0,0,121,0,0,119,366,0,0,0,0,3,3,15,0,14,29,True,AutoRun,AutoRun,AutoRun,15,0,True,7,90,Climbing,Levitate,Climbing,True,0,30,2,LLL,0,147,257,0,0,1,10,0,136,316,1,1,0,0,3,3,20,1,1524156360,FnuhF1jXPbo,youtube,blue,,,,,,,,,,,,,,,,,,,,,,
